Name,Links,Cost,Collections,Cuisines,Timings,Cuisine_Count,Is_Hygiene_Rated,Restaurant,Average_Rating,Total_Reviews_Count,Price_Segment
Beyond Flavours,https://www.zomato.com/hyderabad/beyond-flavours-gachibowli,800.0,"Food Hygiene Rated Restaurants in Hyderabad, Corporate Favorites, Great Buffets, Top-Rated, Gold Curated, Live Sports Screenings","Chinese, Continental, Kebab, European, South Indian, North Indian","12noon to 3:30pm, 6:30pm to 11:30pm (Mon-Sun)",6,1,Beyond Flavours,4.28,100.0,1
Paradise,https://www.zomato.com/hyderabad/paradise-gachibowli,800.0,Hyderabad's Hottest,"Biryani, North Indian, Chinese",11 AM to 11 PM,3,0,Paradise,4.7,100.0,1
Flechazo,https://www.zomato.com/hyderabad/flechazo-gachibowli,1300.0,"Great Buffets, Hyderabad's Hottest","Asian, Mediterranean, North Indian, Desserts","11:30 AM to 4:30 PM, 6:30 PM to 11 PM",4,0,Flechazo,4.66,100.0,2
Shah Ghouse Hotel & Restaurant,https://www.zomato.com/hyderabad/shah-ghouse-hotel-restaurant-gachibowli,800.0,Late Night Restaurants,"Biryani, North Indian, Chinese, Seafood, Beverages",12 Noon to 2 AM,5,0,Shah Ghouse Hotel & Restaurant,3.21,100.0,1
Over The Moon Brew Company,https://www.zomato.com/hyderabad/over-the-moon-brew-company-gachibowli,1200.0,"Best Bars & Pubs, Food Hygiene Rated Restaurants in Hyderabad, Top-Rated, Gold Curated, Hyderabad's Hottest","Asian, Continental, North Indian, Chinese, Mediterranean","12noon to 11pm (Mon, Tue, Wed, Thu, Sun), 12noon to 12midnight (Fri-Sat)",5,1,Over The Moon Brew Company,4.34,100.0,2
The Fisherman's Wharf,https://www.zomato.com/hyderabad/the-fishermans-wharf-gachibowli,1500.0,"Sunday Brunches, Corporate Favorites, Great Buffets, Hyderabad's Hottest, Food Hygiene Rated Restaurants in Hyderabad, Top-Rated, Gold Curated","Seafood, Goan, North Indian, Continental, Asian","12Noon to 3:30PM, 4PM to 6:30PM, 7PM to 11:30PM (Mon, Tue, Wed, Thu, Sun), 12Noon to 3:30PM, 4PM to 6:30PM, 7PM to 12Midnight (Fri-Sat)",5,1,The Fisherman's Wharf,4.22,100.0,2
eat.fit,https://www.zomato.com/hyderabad/eat-fit-gachibowli,500.0,Food Hygiene Rated Restaurants in Hyderabad,"Healthy Food, North Indian, Continental, South Indian",7 AM to 10 PM,4,1,eat.fit,3.2,100.0,0
Shah Ghouse Spl Shawarma,https://www.zomato.com/hyderabad/shah-ghouse-spl-shawarma-gachibowli,300.0,,Lebanese,12 Noon to 12 Midnight,1,0,Shah Ghouse Spl Shawarma,3.43,100.0,0
Hyper Local,https://www.zomato.com/hyderabad/hyper-local-gachibowli,1000.0,"Great Buffets, Live Sports Screenings, Best Bars & Pubs, Trending This Week","American, Chinese, North Indian, Kebab, South Indian",12 Noon to 12 Midnight,5,0,Hyper Local,3.64,100.0,1
Cream Stone,https://www.zomato.com/hyderabad/cream-stone-gachibowli,350.0,Frozen Delights,"Ice Cream, Desserts","10 AM to 1 AM (Mon-Thu), 10 AM to 1:30 AM (Fri-Sun)",2,0,Cream Stone,3.845,100.0,0
Sardarji's Chaats & More,https://www.zomato.com/hyderabad/sardarjis-chaats-more-gachibowli,400.0,"Street Food, Veggie Friendly, Pocket Friendly","Street Food, North Indian, Fast Food","12 Noon to 3:30 PM, 7 PM to 10:30 PM",3,0,Sardarji's Chaats & More,3.25,100.0,0
Barbeque Nation,https://www.zomato.com/hyderabad/barbeque-nation-gachibowli,1600.0,Barbecue & Grill,"Mediterranean, North Indian, Kebab, BBQ","12 Noon to 3:30 PM, 6:30 PM to 11:30 PM",4,0,Barbeque Nation,4.12,100.0,2
Absolute Sizzlers,https://www.zomato.com/hyderabad/absolute-sizzlers-gachibowli,750.0,Great Buffets,"Continental, American, Chinese",11:30 AM to 1 AM,3,0,Absolute Sizzlers,3.62,100.0,1
The Lal Street - Bar Exchange,https://www.zomato.com/hyderabad/the-lal-street-bar-exchange-gachibowli,1300.0,"Corporate Favorites, Happy Hours, Live Sports Screenings, Rooftops, Trending This Week","North Indian, Italian, Finger Food",12noon to 12midnight (Mon-Sun),3,0,The Lal Street - Bar Exchange,3.45,100.0,2
AB's - Absolute Barbecues,https://www.zomato.com/hyderabad/abs-absolute-barbecues-gachibowli,1500.0,"Barbecue & Grill, Great Buffets, Corporate Favorites, Hyderabad's Hottest","European, Mediterranean, North Indian","12 Noon to 4:30 PM, 6:30 PM to 11:30 PM",3,0,AB's - Absolute Barbecues,4.88,100.0,2
KFC,https://www.zomato.com/hyderabad/kfc-gachibowli,500.0,,"Burger, Fast Food",11 AM to 11 PM,2,0,KFC,2.85,100.0,0
NorFest - The Dhaba,https://www.zomato.com/hyderabad/norfest-the-dhaba-gachibowli,550.0,,North Indian,12 Noon to 10:30 PM,1,0,NorFest - The Dhaba,4.03,100.0,0
Hotel Zara Hi-Fi,https://www.zomato.com/hyderabad/hotel-zara-gachibowli,400.0,,"Chinese, North Indian",11:30 AM to 1 AM,2,0,Hotel Zara Hi-Fi,2.4,100.0,0
10 Downing Street,https://www.zomato.com/hyderabad/10-downing-street-gachibowli,1900.0,Trending This Week,"North Indian, Chinese, Continental",12 Noon to 12 Midnight,3,0,10 Downing Street,3.8,100.0,2
Pakwaan Grand,https://www.zomato.com/hyderabad/pakwaan-grand-gachibowli,400.0,Trending This Week,"North Indian, Chinese, Biryani",12 Noon to 11 PM,3,0,Pakwaan Grand,2.71,100.0,0
13 Dhaba,https://www.zomato.com/hyderabad/13-dhaba-gachibowli,450.0,Veggie Friendly,North Indian,"12:30 PM to 10 PM (Tue-Sun), Mon Closed",1,0,13 Dhaba,3.48,100.0,0
Jonathan's Kitchen - Holiday Inn Express & Suites,https://www.zomato.com/hyderabad/jonathans-kitchen-holiday-inn-express-suites-gachibowli,1900.0,"Great Italian, Sunday Brunches","North Indian, Japanese, Italian, Salad, Sushi","11:30 AM to 3 PM, 7 PM to 11 PM",5,0,Jonathan's Kitchen - Holiday Inn Express & Suites,3.535,100.0,2
B-Dubs,https://www.zomato.com/hyderabad/b-dubs-gachibowli,1600.0,Hyderabad's Hottest,American,"11am to 11:30pm (Mon, Tue, Wed, Thu, Sun), 11am to 12midnight (Fri-Sat)",1,0,B-Dubs,4.81,100.0,2
Amul,https://www.zomato.com/hyderabad/amul-gachibowli,150.0,,"Ice Cream, Desserts",10 AM to 5 AM,2,0,Amul,3.94,100.0,0
SKYHY,https://www.zomato.com/hyderabad/skyhy-gachibowli,1400.0,"Live Sports Screenings, Gigs and Events","North Indian, Chinese, Continental","12 Noon to 12 Midnight (Mon-Thu, Sun), 12 Noon to 1 AM (Fri-Sat)",3,0,SKYHY,3.37,100.0,2
Tiki Shack,https://www.zomato.com/hyderabad/tiki-shack-gachibowli,1000.0,,Continental,"12Noon to 11PM (Mon-Thu),12Noon to 11:30PM (Fri-Sun)",1,0,Tiki Shack,3.48,100.0,1
Mustang Terrace Lounge,https://www.zomato.com/hyderabad/mustang-terrace-lounge-gachibowli,1300.0,"Rooftops, Live Sports Screenings, Best Bars & Pubs","Mexican, Italian, North Indian, Chinese, Salad","12 Noon to 11:30 PM (Mon-Wed), 12 Noon to 1 AM (Fri-Sat), 12 Noon to 12 Midnight (Sun), Thu Closed",5,0,Mustang Terrace Lounge,3.31,100.0,2
"3B's - Buddies, Bar & Barbecue",https://www.zomato.com/hyderabad/3bs-buddies-bar-barbecue-gachibowli,1100.0,"Barbecue & Grill, Live Sports Screenings","North Indian, Mediterranean, European","12 Noon to 4 PM, 6:30 PM to 11:30 PM",3,0,"3B's - Buddies, Bar & Barbecue",4.76,100.0,2
Behrouz Biryani,https://www.zomato.com/hyderabad/behrouz-biryani-gachibowli,600.0,,"Mughlai, Biryani",10 AM to 1 AM,2,0,Behrouz Biryani,2.825,100.0,1
Hunger Maggi Point,https://www.zomato.com/hyderabad/hunger-maggi-point-gachibowli,200.0,,Fast Food,4:30 PM to 5:30 AM,1,0,Hunger Maggi Point,3.12,100.0,0
Pot Pourri,https://www.zomato.com/hyderabad/pot-pourri-gachibowli,900.0,,"Andhra, South Indian, North Indian",Not Available,3,0,Pot Pourri,3.32,100.0,1
Pista House,https://www.zomato.com/hyderabad/pista-house-2-gachibowli,1000.0,Haleem,"Bakery, North Indian, Mughlai, Juices, Chinese",11 AM to 12 Midnight,5,0,Pista House,3.23,100.0,1
Marsala Food Company,https://www.zomato.com/hyderabad/marsala-food-company-gachibowli,700.0,"Mandi, Great Buffets, The ‘Must Visit’ Eateries","Arabian, North Indian, Chinese","12noon to 4pm, 7pm to 12midnight (Mon-Sun)",3,0,Marsala Food Company,3.46,100.0,1
Club Rogue,https://www.zomato.com/hyderabad/club-rogue-gachibowli,900.0,,"North Indian, Fast Food",11 AM to 12 Midnight,2,0,Club Rogue,2.88,100.0,1
Mazzo - Marriott Executive Apartments,https://www.zomato.com/hyderabad/mazzo-marriott-executive-apartments-gachibowli,1700.0,"Top-Rated, Gold Curated, Fancy and Fun","Italian, North Indian, South Indian, Asian",6am to 12midnight (Mon-Sun),4,0,Mazzo - Marriott Executive Apartments,4.19,100.0,2
Green Bawarchi Restaurant,https://www.zomato.com/hyderabad/green-bawarchi-restaurant-gachibowli,700.0,,"North Indian, Chinese, Biryani",12 Noon to 11 PM,3,0,Green Bawarchi Restaurant,3.49,100.0,1
Banana Leaf Multicuisine Restaurant,https://www.zomato.com/hyderabad/banana-leaf-multicuisine-restaurant-gachibowli,700.0,Great Buffets,"Biryani, South Indian, North Indian, Chinese, Andhra","12:30 PM to 3:30 PM, 7 PM to 10:40 PM",5,0,Banana Leaf Multicuisine Restaurant,3.69,100.0,1
Kritunga Restaurant,https://www.zomato.com/hyderabad/kritunga-restaurant-gachibowli,500.0,,"Andhra, Biryani, Hyderabadi, North Indian","12 Noon to 4 PM, 7 PM to 11 PM",4,0,Kritunga Restaurant,3.47,100.0,0
The Glass Onion,https://www.zomato.com/hyderabad/the-glass-onion-gachibowli,1200.0,Fancy and Fun,"North Indian, Continental, Italian, Asian","12noon to 11pm (Mon, Tue, Wed, Thu, Sun), 12noon to 12midnight (Fri-Sat)",4,0,The Glass Onion,3.83,100.0,2
Deli 9 Bistro,https://www.zomato.com/hyderabad/deli-9-bistro-gachibowli,700.0,,"Cafe, Continental, Desserts",12 Noon to 10:30 PM,3,0,Deli 9 Bistro,3.82,100.0,1
Frio Bistro,https://www.zomato.com/hyderabad/frio-bistro-gachibowli,1200.0,,"European, Italian, Continental, Spanish",12noon to 11pm (Mon-Sun),4,0,Frio Bistro,3.61,100.0,2
Karachi Bakery,https://www.zomato.com/hyderabad/karachi-bakery-gachibowli,500.0,,"Bakery, Fast Food, Desserts",10 AM to 10 PM,3,0,Karachi Bakery,3.8,100.0,0
Karachi Cafe,https://www.zomato.com/hyderabad/karachi-cafe-gachibowli,600.0,,"Cafe, Desserts, Fast Food",10 AM to 10 PM,3,0,Karachi Cafe,3.715,100.0,1
The Foodie Monster Kitchen,https://www.zomato.com/hyderabad/the-foodie-monster-kitchen-gachibowli,500.0,"Great Breakfasts, Late Night Restaurants, Best shawarmas","American, Wraps, Desserts",7 AM to 1 AM,3,0,The Foodie Monster Kitchen,3.58,100.0,0
La La Land - Bar & Kitchen,https://www.zomato.com/hyderabad/la-la-land-bar-kitchen-gachibowli,1000.0,"Great Buffets, Trending This Week","Finger Food, North Indian, Kebab, Chinese",12 Noon to 11:30 PM,4,0,La La Land - Bar & Kitchen,3.19,100.0,1
Owm Nom Nom,https://www.zomato.com/hyderabad/owm-nom-nom-gachibowli,900.0,,"Chinese, Biryani, Andhra, North Indian",12Noon to 11:30PM (Mon-Sun),4,0,Owm Nom Nom,3.29,100.0,1
Ulavacharu,https://www.zomato.com/hyderabad/ulavacharu-gachibowli,1400.0,"Function Venues, Regional Favorites","Andhra, North Indian, Chinese",12 Noon to 11:30 PM,3,0,Ulavacharu,3.225,100.0,2
Shanghai Chef 2,https://www.zomato.com/hyderabad/shanghai-chef-2-gachibowli,800.0,Pan-Asian Delicacies,"Chinese, Thai, Indonesian, Asian",12 Noon to 11 PM,4,0,Shanghai Chef 2,3.06,100.0,1
Udipi's Upahar,https://www.zomato.com/hyderabad/udipis-upahar-gachibowli,500.0,,"South Indian, North Indian, Chinese",6 AM to 10:30 PM,3,0,Udipi's Upahar,4.03,100.0,0
Mathura Vilas,https://www.zomato.com/hyderabad/mathura-vilas-gachibowli,500.0,"Veggie Friendly, Terrific Thalis","South Indian, North Indian, Chinese","11:30 AM to 3:30 PM, 6:45 PM to 11:30 PM",3,0,Mathura Vilas,2.82,100.0,0
Gal Punjab Di,https://www.zomato.com/hyderabad/gal-punjab-di-gachibowli,800.0,,"North Indian, Continental","11:55 AM to 4 PM, 7 PM to 11:15 PM",2,0,Gal Punjab Di,3.61,100.0,1
Hitech Bawarchi Food Zone,https://www.zomato.com/hyderabad/hitech-bawarchi-food-zone-gachibowli,500.0,,"Biryani, North Indian, Chinese",12 Noon to 11 PM,3,0,Hitech Bawarchi Food Zone,3.05,100.0,0
Biryanis And More,https://www.zomato.com/hyderabad/biryanis-and-more-gachibowli,500.0,,"North Indian, Biryani, Chinese",11 AM to 11 PM,3,0,Biryanis And More,3.74,100.0,0
Diners Pavilion,https://www.zomato.com/hyderabad/diners-pavilion-gachibowli,1200.0,"Great Buffets, Live Sports Screenings","Chinese, Continental, Italian","12noon to 4:30pm, 6:30pm to 11:30pm (Mon, Tue, Wed, Fri, Sat), Closed (Thu),12noon to 12midnight (Sun)",3,0,Diners Pavilion,3.32,100.0,2
Asian Meal Box,https://www.zomato.com/hyderabad/asian-meal-box-gachibowli,200.0,,Asian,"12noon to 12midnight (Mon, Tue, Wed, Thu, Sun), 12noon to 1am (Fri-Sat)",1,0,Asian Meal Box,2.58,100.0,0
Cafe Eclat,https://www.zomato.com/hyderabad/cafe-eclat-gachibowli,700.0,Sneak Peek Hyderabad,"Cafe, Bakery",8 AM to 11:30 PM,2,0,Cafe Eclat,3.59,100.0,1
Feast - Sheraton Hyderabad Hotel,https://www.zomato.com/hyderabad/feast-sheraton-hyderabad-hotel-gachibowli,2500.0,"Sunday Brunches, Great Breakfasts, Function Venues, Ramzan Mubarak","Modern Indian, Asian, Continental, Italian","6:30am to 10:30am, 12:30pm to 3pm, 7pm to 11pm (Mon),6:30am to 10:30am, 12:30pm to 3pm, 7:30pm to 11pm (Tue-Sat),6:30am to 10:30am, 12:30pm to 3:30pm, 7pm to 11pm (Sun)",4,0,Feast - Sheraton Hyderabad Hotel,4.22,100.0,2
Being Hungry,https://www.zomato.com/hyderabad/being-hungry-gachibowli,450.0,,"North Indian, Chinese","12 Noon to 3 PM, 7 PM to 11:30 PM",2,0,Being Hungry,3.66,100.0,0
Tempteys,https://www.zomato.com/hyderabad/tempteys-gachibowli,350.0,Best Milkshakes,"Desserts, Beverages",11:30 AM to 1 AM,2,0,Tempteys,3.85,100.0,0
KS Bakers,https://www.zomato.com/hyderabad/ks-bakers-gachibowli,200.0,,"Bakery, Desserts, Fast Food",9 AM to 10 PM,3,0,KS Bakers,3.965,100.0,0
PourHouse7,https://www.zomato.com/hyderabad/pourhouse7-gachibowli,1200.0,"Happy Hours, Top Drinking Destinations, Corporate Favorites","North Indian, Continental, Chinese, Italian","12 Noon to 12 Midnight (Mon-Thu, Sun), 12 Noon to 1 AM (Fri-Sat)",4,0,PourHouse7,3.86,100.0,2
Prism Club & Kitchen,https://www.zomato.com/hyderabad/prism-club-kitchen-gachibowli,1200.0,"Sneak Peek Hyderabad, Best Bars & Pubs, Gigs and Events","Kebab, Continental, Italian, North Indian",5pm to 12midnight (Mon-Sun),4,0,Prism Club & Kitchen,4.215,100.0,2
Shree Santosh Dhaba Family Restaurant,https://www.zomato.com/hyderabad/shree-santosh-dhaba-family-restaurant-gachibowli,500.0,,"North Indian, Chinese, Fast Food",11 AM to 11:30 PM,3,0,Shree Santosh Dhaba Family Restaurant,2.83,100.0,0
Dine O China,https://www.zomato.com/hyderabad/dine-o-china-gachibowli,850.0,,"Chinese, Asian, Momos",11:30AM to 11PM (Mon-Sun),3,0,Dine O China,3.37,100.0,1
Hyderabad Chefs,https://www.zomato.com/hyderabad/hyderabad-chefs-gachibowli,600.0,,"North Indian, Chinese",12 Noon to 10:30 PM,2,0,Hyderabad Chefs,3.81,100.0,1
Komatose - Holiday Inn Express & Suites,https://www.zomato.com/hyderabad/komatose-holiday-inn-express-suites-gachibowli,1500.0,"Happy Hours, Top-Rated, Gold Curated","North Indian, Chinese, Japanese, Sushi",1 PM to 11 PM,4,0,Komatose - Holiday Inn Express & Suites,3.69,100.0,2
Aromas@11SIX,https://www.zomato.com/hyderabad/aromas11six-gachibowli,750.0,,"North Indian, Chinese, Mughlai, Biryani",11:30 AM to 12 Midnight,4,0,Aromas@11SIX,3.46,100.0,1
Yum Yum Tree - The Arabian Food Court,https://www.zomato.com/hyderabad/yum-yum-tree-the-arabian-food-court-gachibowli,1200.0,Food Hygiene Rated Restaurants in Hyderabad,"North Indian, Hyderabadi",12 Noon to 12 Midnight,2,1,Yum Yum Tree - The Arabian Food Court,3.56,100.0,2
The Tilt Bar Republic,https://www.zomato.com/thetiltbarrepublic,1500.0,"Gigs and Events, Corporate Favorites","North Indian, Continental, Italian",12noon to 12midnight (Mon-Sun),3,0,The Tilt Bar Republic,3.845,100.0,2
The Indi Grill,https://www.zomato.com/hyderabad/the-indi-grill-gachibowli,1500.0,"Food Hygiene Rated Restaurants in Hyderabad, Great Buffets, Hyderabad's Hottest","BBQ, Asian, Modern Indian",12noon to 11pm (Mon-Sun),3,1,The Indi Grill,4.6,100.0,2
Urban Asia - Kitchen & Bar,https://www.zomato.com/hyderabad/urban-asia-kitchen-bar-gachibowli,1100.0,,"Asian, Thai, Chinese, Sushi, Momos","12 Noon to 3 PM, 7 PM to 11 PM",5,0,Urban Asia - Kitchen & Bar,3.65,100.0,2
Eat India Company,https://www.zomato.com/hyderabad/eat-india-company-gachibowli,1300.0,,"North Indian, Mughlai, Beverages","12 Noon to 3 PM, 7 PM to 11 PM",3,0,Eat India Company,3.26,100.0,2
Labonel,https://www.zomato.com/hyderabad/labonel-gachibowli,1000.0,Best Bakeries,"Bakery, Desserts","11 AM to 8 PM (Mon-Sat), Sun Closed",2,0,Labonel,3.915,100.0,1
Driven Cafe,https://www.zomato.com/hyderabad/driven-cafe-gachibowli,600.0,,"Cafe, Fast Food, Beverages",4 AM to 12 Midnight,3,0,Driven Cafe,3.745,100.0,1
Faasos,https://www.zomato.com/hyderabad/faasos-gachibowli,600.0,,"Fast Food, Biryani, Desserts",9 AM to 1 AM,3,0,Faasos,3.03,100.0,1
Royal Spicy Restaurant,https://www.zomato.com/hyderabad/royal-spicy-restaurant-gachibowli,700.0,,"North Indian, South Indian",10:30 AM to 11 PM,2,0,Royal Spicy Restaurant,3.74,100.0,1
The Old Madras Baking Company,https://www.zomato.com/hyderabad/the-old-madras-baking-company-gachibowli,350.0,,Bakery,7 AM to 11 PM,1,0,The Old Madras Baking Company,3.6161616161616164,99.0,0
Squeeze @ The Lime,https://www.zomato.com/hyderabad/squeeze-the-lime-gachibowli,650.0,Veggie Friendly,"Italian, North Indian, Chinese, Salad","7 AM to 10:30 AM, 12:30 PM to 3:30 PM, 7 PM to 11 PM",4,0,Squeeze @ The Lime,3.815,100.0,1
Khaan Saab,https://www.zomato.com/hyderabad/khaan-saab-gachibowli,1100.0,New on Gold,"North Indian, Mughlai","12 Noon to 3:30 PM, 7 PM to 11:30 PM",2,0,Khaan Saab,3.8,100.0,2
Olive Garden,https://www.zomato.com/hyderabad/olive-garden-gachibowli,700.0,,"North Indian, Chinese, Continental, Biryani","12 Noon to 3:30 PM, 7 PM to 11 PM",4,0,Olive Garden,3.76,100.0,1
Tandoori Food Works,https://www.zomato.com/hyderabad/tandoori-food-works-gachibowli,500.0,Brilliant Biryanis,"North Indian, Burger, Kebab","12noon to 12midnight (Mon, Tue, Wed, Thu, Sun), 12noon to 1am (Fri-Sat)",3,0,Tandoori Food Works,3.27,100.0,0
Delhi-39,https://www.zomato.com/hyderabad/delhi-39-gachibowli,600.0,,"North Indian, Chinese",11am to 11pm (Mon-Sun),2,0,Delhi-39,2.975,100.0,1
Al Saba Restaurant,https://www.zomato.com/hyderabad/al-saba-restaurant-gachibowli,750.0,,"North Indian, Chinese, Seafood, Biryani, Hyderabadi",6 AM to 11:30 PM,5,0,Al Saba Restaurant,3.155,100.0,1
GD's,https://www.zomato.com/hyderabad/gds-gachibowli,500.0,,"Burger, American",11:30 AM to 5 AM,2,0,GD's,3.96,100.0,0
T Grill,https://www.zomato.com/hyderabad/t-grill-gachibowli,700.0,,"North Indian, Andhra, Biryani, Chinese","12:30 PM to 3:30 PM, 7 PM to 11 PM",4,0,T Grill,3.17,100.0,1
Momos Delight,https://www.zomato.com/hyderabad/momos-delight-gachibowli,200.0,,Momos,6pm to 2am (Mon-Sun),1,0,Momos Delight,3.725,100.0,0
The Chocolate Room,https://www.zomato.com/hyderabad/the-chocolate-room-gachibowli,600.0,,"Cafe, Desserts",10 AM to 12 Midnight,2,0,The Chocolate Room,2.83,100.0,1
American Wild Wings,https://www.zomato.com/hyderabad/american-wild-wings-gachibowli,600.0,Food Hygiene Rated Restaurants in Hyderabad,"American, Fast Food, Salad, Burger",12 Noon to 4 AM,4,1,American Wild Wings,3.9740259740259742,77.0,1
Domino's Pizza,https://www.zomato.com/hyderabad/dominos-pizza-4-gachibowli,400.0,,"Fast Food, Pizza",11 AM to 11 PM,2,0,Domino's Pizza,3.09,100.0,0
Mohammedia Shawarma,https://www.zomato.com/hyderabad/mohammedia-shawarma-gachibowli,150.0,,"Street Food, Arabian",1 PM to 1 AM,2,0,Mohammedia Shawarma,2.99,100.0,0
Arena Eleven,https://www.zomato.com/hyderabad/arena-eleven-gachibowli,1600.0,New on Gold,Continental,12 Noon to 12 Midnight,1,0,Arena Eleven,4.117647058823529,85.0,2
Cascade - Radisson Hyderabad Hitec City,https://www.zomato.com/hyderabad/cascade-radisson-hyderabad-hitec-city-gachibowli,1800.0,,"North Indian, Italian, Continental, Asian",24 Hours,4,0,Cascade - Radisson Hyderabad Hitec City,4.26,100.0,2
Collage - Hyatt Hyderabad Gachibowli,https://www.zomato.com/hyderabad/collage-hyatt-hyderabad-gachibowli-gachibowli,2800.0,Sunday Brunches,"Continental, Italian, North Indian, Chinese, Asian",24 Hours (Mon-Sun),5,0,Collage - Hyatt Hyderabad Gachibowli,3.41,100.0,2
Zing's Northeast Kitchen,https://www.zomato.com/hyderabad/zings-northeast-kitchen-gachibowli,550.0,,"North Eastern, Momos","11:30 AM to 4 PM, 7 PM to 11 PM",2,0,Zing's Northeast Kitchen,3.65,100.0,0
Dunkin' Donuts,https://www.zomato.com/hyderabad/dunkin-donuts-gachibowli,550.0,,"Desserts, Cafe, Beverages, Burger, Fast Food",10 AM to 11 PM,5,0,Dunkin' Donuts,3.095,100.0,0
Desi Bytes,https://www.zomato.com/hyderabad/desi-bytes-gachibowli,400.0,,"North Indian, Chinese","1 PM to 2 AM (Mon, Wed-Sun), Tue Closed",2,0,Desi Bytes,2.9,100.0,0
Hyderabadi Daawat,https://www.zomato.com/hyderabad/hyderabadi-daawat-1-gachibowli,600.0,Food Hygiene Rated Restaurants in Hyderabad,"Hyderabadi, Chinese, Mughlai",12:30pm to 11:30pm (Mon-Sun),3,1,Hyderabadi Daawat,3.83,100.0,1
Zega - Sheraton Hyderabad Hotel,https://www.zomato.com/hyderabad/zega-sheraton-hyderabad-hotel-gachibowli,1750.0,,"Asian, Sushi",12Noon to 2AM (Mon-Sun),2,0,Zega - Sheraton Hyderabad Hotel,4.45,100.0,2
Triptify,https://www.zomato.com/hyderabad/triptify-gachibowli,400.0,,North Indian,11 AM to 11 PM,1,0,Triptify,3.55,100.0,0
Chinese Pavilion,https://www.zomato.com/hyderabad/chinese-pavilion-gachibowli,1000.0,,"Chinese, Seafood","12 Noon to 3:30 PM, 7 PM to 11 PM",2,0,Chinese Pavilion,3.745,100.0,1
IndiBlaze,https://www.zomato.com/hyderabad/indiblaze-gachibowli,600.0,,"Fast Food, Salad",11 AM to 11 PM,2,0,,,,1
Sweet Basket,https://www.zomato.com/hyderabad/sweet-basket-gachibowli,200.0,,"Bakery, Mithai","10 AM to 10 PM (Mon-Thu), 8 AM to 10:30 PM (Fri-Sun)",2,0,,,,0
Angaara Counts 3,https://www.zomato.com/hyderabad/angaara-counts-3-gachibowli,500.0,,"North Indian, Biryani, Chinese",12 Noon to 11 PM,3,0,,,,0
Wich Please,https://www.zomato.com/hyderabad/wich-please-1-gachibowli,250.0,,Fast Food,8am to 12:30AM (Mon-Sun),1,0,,,,0
Republic Of Noodles - Lemon Tree Hotel,https://www.zomato.com/hyderabad/republic-of-noodles-lemon-tree-hotel-gachibowli,1700.0,Pan-Asian Delicacies,"Thai, Asian, Chinese, Malaysian","11:30 AM to 3 PM, 7 PM to 12 Midnight",4,0,,,,2
